og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence.","Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence.",1,1,no need to correct
Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,0,0,no need to correct
"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.","On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.","They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.","On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.",1,1,no need to correct
"Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.","Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.","Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.","Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.",0,0,no need to correct
"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.",PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.,"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.",PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.,1,0,can't correct
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.",Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.",1,0,can't correct
"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.","The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.",0,0,no need to correct
The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.,The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.,1,0,can't correct
"That compared with $35.18 million, or 24 cents per share, in the year-ago period.",Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.,"That compared with $35.18 million, or 24 cents per share, in the year-ago period.",Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.,0,0,no need to correct
He said the foodservice pie business doesn't fit the company's long-term growth strategy.,"""The foodservice pie business does not fit our long-term growth strategy.",He said the foodservice pie business doesn't fit the company's long-term growth strategy.,"""The foodservice pie business does not fit our long-term growth strategy.",1,1,no need to correct
"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.","Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.","Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.","Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.",0,0,no need to correct
Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.",Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.",0,0,no need to correct
"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.","The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",0,0,no need to correct
But he added group performance would improve in the second half of the year and beyond.,De Sole said in the results statement that group performance would improve in the second half of the year and beyond.,But he added group performance would improve in the second half of the year and beyond.,De Sole said in the results statement that group performance would improve in the second half of the year and beyond.,1,0,can't correct
He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.",He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,"""Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.",1,1,corrected
He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.",He told The Sun newspaper that Mr. Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum.,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.",1,1,corrected
"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.","Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.",0,0,no need to correct
Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,"Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.",Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,"Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.",0,0,no need to correct
"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.,0,0,no need to correct
Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war.,"His wife said he was ""100 percent behind George Bush"" and looked forward to using his years of training in the war.",Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war.,"His wife said he was ""100 percent behind George Bush"" and looked forward to using his years of training in the war.",0,0,no need to correct
